Produto,Categoria do Produto,Quantidade,Preço Unitário,Nome da Loja,Forma de Pagamento,Estado da Loja,Cidade da Loja,Preço Total
Webcam,Informática,9,3586.0,Loja Norte,Boleto,RJ,Rio de Janeiro,32274.0
Teclado,Periféricos,2,4139.11,Loja Norte,Débito,RJ,Porto Alegre,8278.22
Monitor,Eletrônicos,1,493.72,Loja Norte,Crédito,MG,Rio de Janeiro,493.72
Smartwatch,Periféricos,3,1537.08,Loja Centro,Boleto,RJ,Belo Horizonte,4611.24
Smartphone,Informática,7,335.79,Loja Sul,Crédito,SP,Rio de Janeiro,2350.53
Headset,Informática,9,1889.16,Loja Leste,Boleto,BA,São Paulo,17002.440000000002
Headset,Eletrônicos,2,4907.38,Loja Leste,Boleto,RJ,Salvador,9814.76
Webcam,Eletrônicos,6,571.1,Loja Oeste,Boleto,RS,São Paulo,3426.6000000000004
Impressora,Acessórios,3,2833.75,Loja Oeste,Crédito,RS,São Paulo,8501.25
Tablet,Eletrônicos,5,80.05,Loja Sul,Boleto,RJ,Porto Alegre,400.25
Smartwatch,Acessórios,9,3577.78,Loja Norte,Boleto,SP,Rio de Janeiro,32200.02
Webcam,Informática,3,1026.1,Loja Sul,Crédito,BA,Belo Horizonte,3078.2999999999997
Monitor,Informática,1,691.44,Loja Oeste,Boleto,BA,Rio de Janeiro,691.44
Mouse,Periféricos,5,1718.24,Loja Oeste,Crédito,SP,Salvador,8591.2
Laptop,Periféricos,1,3866.67,Loja Leste,Boleto,RS,Rio de Janeiro,3866.67
Tablet,Acessórios,8,577.73,Loja Sul,Débito,RS,Salvador,4621.84
Impressora,Eletrônicos,7,1187.7,Loja Centro,Débito,MG,Salvador,8313.9
Smartphone,Eletrônicos,2,91.9,Loja Oeste,Crédito,RJ,São Paulo,183.8
Tablet,Periféricos,9,4843.65,Loja Leste,Boleto,RJ,Salvador,43592.85
Teclado,Informática,5,2981.12,Loja Norte,Crédito,RS,Salvador,14905.599999999999
Impressora,Acessórios,7,3613.5,Loja Sul,Boleto,RJ,Belo Horizonte,25294.5
Mouse,Informática,4,3274.35,Loja Oeste,Crédito,SP,Porto Alegre,13097.4
Teclado,Informática,1,764.6,Loja Centro,Débito,BA,Rio de Janeiro,764.6
Tablet,Eletrônicos,8,2994.95,Loja Oeste,Crédito,MG,Belo Horizonte,23959.6
Laptop,Acessórios,1,700.51,Loja Centro,Débito,SP,Porto Alegre,700.51
Laptop,Informática,3,2036.12,Loja Sul,Débito,SP,São Paulo,6108.36
Mouse,Periféricos,6,2866.37,Loja Centro,Débito,SP,Belo Horizonte,17198.22
Headset,Periféricos,8,2816.46,Loja Centro,Crédito,RJ,Belo Horizonte,22531.68
Smartwatch,Eletrônicos,8,639.41,Loja Leste,Crédito,BA,São Paulo,5115.28
Smartphone,Periféricos,2,220.46,Loja Sul,Débito,MG,Salvador,440.92
Headset,Periféricos,9,4001.26,Loja Oeste,Crédito,RS,São Paulo,36011.340000000004
Laptop,Informática,4,3643.32,Loja Norte,Boleto,SP,Rio de Janeiro,14573.28
Laptop,Periféricos,4,455.0,Loja Sul,Débito,SP,São Paulo,1820.0
Monitor,Periféricos,2,680.71,Loja Sul,Boleto,SP,Belo Horizonte,1361.42
Teclado,Informática,1,4468.29,Loja Norte,Débito,RS,São Paulo,4468.29
Tablet,Eletrônicos,7,3857.19,Loja Oeste,Boleto,RJ,Rio de Janeiro,27000.33
Smartphone,Eletrônicos,3,4980.99,Loja Leste,Débito,RJ,Salvador,14942.97
Mouse,Acessórios,4,1307.24,Loja Oeste,Débito,BA,Salvador,5228.96
Tablet,Periféricos,9,2464.62,Loja Norte,Débito,RJ,Porto Alegre,22181.579999999998
Monitor,Informática,6,1220.47,Loja Oeste,Crédito,RJ,Porto Alegre,7322.82
Laptop,Acessórios,1,3132.86,Loja Sul,Boleto,MG,Rio de Janeiro,3132.86
Mouse,Eletrônicos,9,621.3,Loja Leste,Débito,MG,Porto Alegre,5591.7
Laptop,Eletrônicos,9,679.85,Loja Centro,Crédito,RJ,Salvador,6118.650000000001
Smartphone,Informática,5,405.85,Loja Oeste,Débito,MG,Salvador,2029.25
Teclado,Acessórios,8,3483.25,Loja Centro,Boleto,BA,Porto Alegre,27866.0
Tablet,Acessórios,7,2495.66,Loja Leste,Débito,RJ,São Paulo,17469.62
Tablet,Informática,8,3107.77,Loja Centro,Crédito,MG,Salvador,24862.16
Headset,Informática,9,4402.54,Loja Oeste,Débito,RS,Porto Alegre,39622.86
Mouse,Acessórios,2,3714.63,Loja Norte,Débito,MG,Porto Alegre,7429.26
Smartwatch,Eletrônicos,5,2335.53,Loja Sul,Débito,MG,Rio de Janeiro,11677.650000000001
Monitor,Periféricos,8,4922.56,Loja Sul,Débito,RS,Rio de Janeiro,39380.48
Smartwatch,Eletrônicos,3,2308.47,Loja Centro,Crédito,BA,Salvador,6925.41
Headset,Informática,6,606.63,Loja Sul,Débito,RS,Belo Horizonte,3639.7799999999997
Smartphone,Acessórios,6,4963.64,Loja Sul,Boleto,BA,Porto Alegre,29781.840000000004
Monitor,Acessórios,7,162.96,Loja Norte,Boleto,RS,São Paulo,1140.72
Teclado,Periféricos,3,2771.92,Loja Centro,Débito,BA,Belo Horizonte,8315.76
Smartwatch,Acessórios,8,1580.02,Loja Norte,Crédito,BA,Porto Alegre,12640.16
Teclado,Periféricos,8,2542.58,Loja Norte,Boleto,SP,Belo Horizonte,20340.64
Smartwatch,Eletrônicos,9,2815.63,Loja Leste,Débito,SP,Porto Alegre,25340.670000000002
Teclado,Eletrônicos,8,1238.47,Loja Centro,Débito,MG,Porto Alegre,9907.76
Smartwatch,Acessórios,3,2806.45,Loja Norte,Crédito,RS,Belo Horizonte,8419.349999999999
Teclado,Acessórios,6,3792.5,Loja Oeste,Débito,BA,Rio de Janeiro,22755.0
Headset,Informática,9,1369.22,Loja Sul,Crédito,SP,Porto Alegre,12322.98
Impressora,Informática,1,1947.96,Loja Centro,Boleto,MG,Salvador,1947.96
Monitor,Acessórios,3,1377.8,Loja Leste,Débito,MG,Belo Horizonte,4133.4
Mouse,Acessórios,2,4111.77,Loja Norte,Crédito,MG,Rio de Janeiro,8223.54
Smartphone,Eletrônicos,8,3638.66,Loja Oeste,Débito,SP,São Paulo,29109.28
Webcam,Acessórios,6,4362.42,Loja Sul,Débito,RJ,Porto Alegre,26174.52
Laptop,Informática,8,891.75,Loja Sul,Boleto,MG,Porto Alegre,7134.0
Mouse,Eletrônicos,2,414.22,Loja Oeste,Débito,RJ,Salvador,828.44
Laptop,Periféricos,6,640.95,Loja Centro,Crédito,RJ,Rio de Janeiro,3845.7000000000003
Monitor,Informática,7,847.04,Loja Sul,Crédito,RJ,Porto Alegre,5929.28
Mouse,Informática,8,2688.76,Loja Sul,Crédito,MG,Rio de Janeiro,21510.08
Teclado,Eletrônicos,9,4856.01,Loja Sul,Débito,BA,Porto Alegre,43704.090000000004
Teclado,Periféricos,5,1818.32,Loja Norte,Débito,RJ,São Paulo,9091.6
Webcam,Informática,3,4794.62,Loja Norte,Boleto,SP,Salvador,14383.86
Laptop,Acessórios,2,239.09,Loja Sul,Débito,SP,São Paulo,478.18
Smartphone,Informática,8,4638.02,Loja Leste,Crédito,RJ,São Paulo,37104.16
Monitor,Eletrônicos,1,946.71,Loja Sul,Crédito,RJ,Belo Horizonte,946.71
Teclado,Eletrônicos,6,4566.75,Loja Centro,Boleto,RJ,São Paulo,27400.5
Impressora,Eletrônicos,2,328.33,Loja Leste,Crédito,SP,Salvador,656.66
Headset,Informática,3,4743.69,Loja Centro,Crédito,RS,Salvador,14231.07
Headset,Periféricos,8,1043.95,Loja Oeste,Crédito,BA,Porto Alegre,8351.6
Smartwatch,Acessórios,1,1548.43,Loja Oeste,Boleto,RS,São Paulo,1548.43
Smartphone,Eletrônicos,6,2480.16,Loja Norte,Boleto,SP,Rio de Janeiro,14880.96
Headset,Periféricos,3,1934.57,Loja Norte,Crédito,SP,Belo Horizonte,5803.71
Smartwatch,Acessórios,6,3354.26,Loja Norte,Crédito,MG,Belo Horizonte,20125.56
Laptop,Eletrônicos,3,4875.3,Loja Oeste,Débito,RS,Belo Horizonte,14625.900000000001
Teclado,Acessórios,8,3051.81,Loja Centro,Débito,RJ,Salvador,24414.48
Teclado,Acessórios,5,3621.35,Loja Leste,Crédito,RJ,Salvador,18106.75
Impressora,Periféricos,4,485.63,Loja Norte,Débito,SP,Porto Alegre,1942.52
Mouse,Acessórios,9,3157.67,Loja Oeste,Crédito,MG,São Paulo,28419.03
Headset,Eletrônicos,5,2296.56,Loja Norte,Crédito,RS,Salvador,11482.8
Laptop,Periféricos,4,4434.62,Loja Sul,Débito,MG,Belo Horizonte,17738.48
Tablet,Informática,8,1971.64,Loja Leste,Boleto,BA,Salvador,15773.12
Headset,Informática,8,3413.3,Loja Centro,Boleto,MG,São Paulo,27306.4
Smartphone,Periféricos,8,1179.36,Loja Norte,Boleto,BA,Salvador,9434.88
Mouse,Informática,4,1333.89,Loja Sul,Crédito,RS,São Paulo,5335.56
Headset,Acessórios,1,1911.81,Loja Sul,Crédito,RJ,Porto Alegre,1911.81
Laptop,Eletrônicos,2,1555.11,Loja Leste,Boleto,BA,Salvador,3110.22
Headset,Acessórios,4,1306.7,Loja Oeste,Boleto,RJ,São Paulo,5226.8
Smartphone,Periféricos,2,295.86,Loja Oeste,Boleto,MG,São Paulo,591.72
Tablet,Eletrônicos,3,4191.89,Loja Norte,Crédito,MG,Rio de Janeiro,12575.670000000002
Monitor,Periféricos,9,368.29,Loja Norte,Crédito,RS,Porto Alegre,3314.61
Webcam,Periféricos,9,4442.46,Loja Oeste,Débito,RJ,Salvador,39982.14
Tablet,Periféricos,9,671.05,Loja Centro,Débito,RS,Rio de Janeiro,6039.45
Smartwatch,Acessórios,7,373.05,Loja Centro,Débito,BA,Salvador,2611.35
Headset,Eletrônicos,4,2836.87,Loja Sul,Boleto,MG,Belo Horizonte,11347.48
Teclado,Eletrônicos,1,2537.09,Loja Leste,Crédito,MG,Belo Horizonte,2537.09
Impressora,Eletrônicos,3,2481.61,Loja Centro,Débito,MG,São Paulo,7444.83
Teclado,Acessórios,8,2893.8,Loja Norte,Débito,MG,Rio de Janeiro,23150.4
Tablet,Informática,4,1470.93,Loja Centro,Débito,MG,São Paulo,5883.72
Teclado,Acessórios,2,3331.6,Loja Leste,Débito,BA,São Paulo,6663.2
Laptop,Acessórios,8,2536.89,Loja Norte,Boleto,BA,São Paulo,20295.12
Teclado,Periféricos,7,1706.98,Loja Leste,Crédito,RS,Belo Horizonte,11948.86
Mouse,Eletrônicos,9,4141.18,Loja Oeste,Crédito,SP,São Paulo,37270.62
Monitor,Eletrônicos,2,3652.22,Loja Leste,Crédito,MG,São Paulo,7304.44
Headset,Informática,5,1998.37,Loja Leste,Débito,MG,São Paulo,9991.849999999999
Teclado,Informática,6,4245.71,Loja Leste,Boleto,SP,São Paulo,25474.260000000002
Smartphone,Periféricos,2,4605.28,Loja Norte,Boleto,RS,Rio de Janeiro,9210.56
Monitor,Eletrônicos,2,2707.49,Loja Leste,Boleto,BA,Salvador,5414.98
Monitor,Informática,4,1114.01,Loja Leste,Crédito,MG,Rio de Janeiro,4456.04
Teclado,Informática,8,4583.17,Loja Sul,Crédito,RS,Porto Alegre,36665.36
Monitor,Eletrônicos,5,987.92,Loja Norte,Boleto,SP,Rio de Janeiro,4939.599999999999
Impressora,Acessórios,9,289.69,Loja Leste,Débito,BA,Porto Alegre,2607.21
Teclado,Informática,4,1671.06,Loja Centro,Crédito,BA,Belo Horizonte,6684.24
Laptop,Eletrônicos,3,3648.48,Loja Leste,Crédito,RS,Salvador,10945.44
Tablet,Informática,8,4620.21,Loja Centro,Débito,RJ,São Paulo,36961.68
Mouse,Periféricos,1,3204.56,Loja Oeste,Débito,RJ,Porto Alegre,3204.56
Webcam,Informática,9,4761.6,Loja Oeste,Crédito,RJ,Belo Horizonte,42854.4
Smartwatch,Eletrônicos,4,507.24,Loja Norte,Débito,SP,Salvador,2028.96
Monitor,Informática,9,350.73,Loja Norte,Débito,RJ,Porto Alegre,3156.57
Laptop,Periféricos,8,3040.75,Loja Oeste,Débito,RS,Belo Horizonte,24326.0
Headset,Periféricos,3,4832.28,Loja Norte,Débito,BA,São Paulo,14496.84
Headset,Informática,3,2538.47,Loja Centro,Débito,RS,Belo Horizonte,7615.41
Smartwatch,Informática,9,305.0,Loja Centro,Boleto,RS,Belo Horizonte,2745.0
Mouse,Periféricos,3,1145.03,Loja Sul,Crédito,MG,São Paulo,3435.09
Monitor,Periféricos,4,1261.72,Loja Norte,Boleto,SP,Porto Alegre,5046.88
Impressora,Acessórios,9,1722.39,Loja Norte,Boleto,BA,Belo Horizonte,15501.51
Smartwatch,Acessórios,4,265.84,Loja Sul,Boleto,MG,São Paulo,1063.36
Mouse,Periféricos,3,4529.22,Loja Leste,Crédito,SP,Porto Alegre,13587.66
Monitor,Informática,7,2602.04,Loja Centro,Crédito,BA,São Paulo,18214.28
Laptop,Eletrônicos,6,3371.11,Loja Leste,Crédito,MG,Rio de Janeiro,20226.66
Tablet,Informática,1,382.51,Loja Sul,Boleto,RJ,Porto Alegre,382.51
Impressora,Informática,8,317.87,Loja Norte,Crédito,RS,Rio de Janeiro,2542.96
Webcam,Acessórios,1,2953.02,Loja Leste,Boleto,RJ,Belo Horizonte,2953.02
Headset,Acessórios,4,4442.12,Loja Norte,Débito,BA,Belo Horizonte,17768.48
Smartphone,Acessórios,6,2665.99,Loja Sul,Crédito,MG,Belo Horizonte,15995.939999999999
Laptop,Periféricos,6,4395.2,Loja Oeste,Débito,MG,Porto Alegre,26371.199999999997
Headset,Periféricos,7,4064.41,Loja Norte,Boleto,MG,Salvador,28450.87
Teclado,Informática,5,425.48,Loja Leste,Crédito,RS,Porto Alegre,2127.4
Smartphone,Informática,5,1049.69,Loja Leste,Crédito,MG,Porto Alegre,5248.450000000001
Headset,Eletrônicos,4,3305.67,Loja Sul,Débito,SP,Salvador,13222.68
Mouse,Informática,6,2245.33,Loja Leste,Boleto,SP,Porto Alegre,13471.98
Impressora,Informática,7,1488.96,Loja Centro,Boleto,SP,Rio de Janeiro,10422.720000000001
Headset,Acessórios,1,2122.24,Loja Norte,Crédito,RJ,Salvador,2122.24
Webcam,Acessórios,9,2253.74,Loja Centro,Crédito,BA,Salvador,20283.659999999996
Tablet,Acessórios,8,4557.23,Loja Sul,Crédito,RJ,Rio de Janeiro,36457.84
Mouse,Acessórios,7,562.12,Loja Centro,Crédito,RJ,Salvador,3934.84
Laptop,Acessórios,9,1434.67,Loja Centro,Crédito,RS,Salvador,12912.03
Laptop,Eletrônicos,3,2710.95,Loja Norte,Boleto,RJ,Rio de Janeiro,8132.849999999999
Laptop,Eletrônicos,4,3506.52,Loja Norte,Crédito,RS,São Paulo,14026.08
Laptop,Eletrônicos,7,3171.65,Loja Oeste,Débito,SP,São Paulo,22201.55
Tablet,Acessórios,6,4711.13,Loja Centro,Crédito,SP,São Paulo,28266.78
Headset,Periféricos,2,3988.26,Loja Norte,Crédito,RJ,Rio de Janeiro,7976.52
Monitor,Acessórios,2,2807.53,Loja Centro,Boleto,RJ,Belo Horizonte,5615.06
Headset,Acessórios,7,1112.68,Loja Centro,Boleto,SP,Porto Alegre,7788.76
Teclado,Eletrônicos,9,2281.83,Loja Sul,Boleto,MG,Salvador,20536.47
Impressora,Acessórios,9,3482.24,Loja Sul,Débito,SP,Rio de Janeiro,31340.159999999996
Smartphone,Eletrônicos,7,4197.91,Loja Centro,Boleto,MG,Porto Alegre,29385.37
Monitor,Acessórios,8,4800.69,Loja Sul,Crédito,SP,Rio de Janeiro,38405.52
Monitor,Informática,3,3046.99,Loja Norte,Boleto,BA,Salvador,9140.97
Headset,Periféricos,1,2658.25,Loja Centro,Débito,RS,Belo Horizonte,2658.25
Monitor,Periféricos,7,137.58,Loja Sul,Crédito,RS,Rio de Janeiro,963.0600000000001
Smartwatch,Eletrônicos,8,406.89,Loja Norte,Crédito,BA,Porto Alegre,3255.12
Smartwatch,Informática,2,822.72,Loja Centro,Débito,MG,Porto Alegre,1645.44
Teclado,Periféricos,9,321.06,Loja Centro,Boleto,RJ,Salvador,2889.54
Smartphone,Eletrônicos,4,2034.27,Loja Sul,Boleto,RJ,São Paulo,8137.08
Webcam,Acessórios,9,1717.55,Loja Norte,Boleto,RS,Salvador,15457.949999999999
Tablet,Acessórios,3,3204.9,Loja Centro,Boleto,RJ,Salvador,9614.7
Headset,Informática,8,2701.54,Loja Centro,Débito,MG,São Paulo,21612.32
Tablet,Periféricos,2,3000.06,Loja Oeste,Débito,RJ,Belo Horizonte,6000.12
Webcam,Acessórios,3,2386.29,Loja Centro,Boleto,SP,Rio de Janeiro,7158.87
Headset,Eletrônicos,1,1424.8,Loja Oeste,Débito,BA,Porto Alegre,1424.8
Headset,Acessórios,5,4766.49,Loja Oeste,Crédito,RS,Rio de Janeiro,23832.449999999997
Smartphone,Acessórios,4,477.73,Loja Norte,Boleto,RJ,Rio de Janeiro,1910.92
Tablet,Periféricos,1,4697.51,Loja Leste,Crédito,MG,Porto Alegre,4697.51
Smartwatch,Periféricos,9,1590.63,Loja Oeste,Crédito,RJ,São Paulo,14315.670000000002
Laptop,Eletrônicos,6,2587.67,Loja Norte,Crédito,BA,Porto Alegre,15526.02
Tablet,Informática,6,588.77,Loja Sul,Boleto,SP,São Paulo,3532.62
Impressora,Informática,2,401.11,Loja Oeste,Boleto,RS,São Paulo,802.22
Impressora,Acessórios,7,2176.25,Loja Leste,Boleto,RS,Salvador,15233.75
Headset,Eletrônicos,9,3721.4,Loja Sul,Débito,MG,Belo Horizonte,33492.6
Laptop,Informática,6,1383.36,Loja Oeste,Boleto,SP,Salvador,8300.16
Mouse,Informática,8,2833.62,Loja Oeste,Crédito,RJ,Belo Horizonte,22668.96
Webcam,Acessórios,5,1429.32,Loja Leste,Boleto,RJ,São Paulo,7146.599999999999
Teclado,Eletrônicos,2,1973.63,Loja Centro,Débito,MG,Salvador,3947.26
Laptop,Informática,4,4536.91,Loja Leste,Boleto,SP,Rio de Janeiro,18147.64
Teclado,Periféricos,1,4286.41,Loja Norte,Débito,MG,Porto Alegre,4286.41
Tablet,Periféricos,1,2604.29,Loja Norte,Crédito,BA,Porto Alegre,2604.29
Tablet,Acessórios,6,1228.62,Loja Leste,Crédito,BA,Porto Alegre,7371.719999999999
Teclado,Acessórios,2,1006.26,Loja Leste,Crédito,RJ,Belo Horizonte,2012.52
Webcam,Acessórios,6,4772.73,Loja Leste,Crédito,BA,Porto Alegre,28636.379999999997
Laptop,Acessórios,1,1053.45,Loja Leste,Crédito,MG,Belo Horizonte,1053.45
Mouse,Informática,3,4050.43,Loja Leste,Crédito,RS,Belo Horizonte,12151.289999999999
Headset,Eletrônicos,9,1876.4,Loja Oeste,Débito,BA,Belo Horizonte,16887.600000000002
Smartphone,Acessórios,2,4929.02,Loja Sul,Crédito,MG,Rio de Janeiro,9858.04
Tablet,Acessórios,8,1872.37,Loja Norte,Boleto,RS,São Paulo,14978.96
Impressora,Informática,6,1790.01,Loja Norte,Débito,RS,Rio de Janeiro,10740.06
Webcam,Acessórios,6,3205.44,Loja Sul,Débito,BA,São Paulo,19232.64
Smartphone,Acessórios,7,4809.51,Loja Leste,Boleto,SP,Rio de Janeiro,33666.57
Mouse,Eletrônicos,5,4882.24,Loja Sul,Boleto,BA,Belo Horizonte,24411.199999999997
Monitor,Periféricos,4,3550.67,Loja Leste,Boleto,BA,São Paulo,14202.68
Headset,Acessórios,6,3785.3,Loja Norte,Boleto,SP,Porto Alegre,22711.800000000003
Tablet,Informática,8,2838.84,Loja Centro,Boleto,BA,Rio de Janeiro,22710.72
Headset,Eletrônicos,4,3791.09,Loja Norte,Crédito,MG,São Paulo,15164.36
Smartphone,Informática,5,4305.91,Loja Norte,Débito,SP,Porto Alegre,21529.55
Headset,Eletrônicos,7,2456.17,Loja Centro,Boleto,MG,Salvador,17193.190000000002
Monitor,Eletrônicos,6,3118.32,Loja Sul,Boleto,RS,Belo Horizonte,18709.920000000002
Smartphone,Acessórios,4,2709.72,Loja Oeste,Débito,SP,Rio de Janeiro,10838.88
Tablet,Acessórios,4,2834.23,Loja Leste,Débito,RS,Rio de Janeiro,11336.92
Laptop,Acessórios,4,4455.74,Loja Leste,Crédito,RJ,Salvador,17822.96
Impressora,Periféricos,1,1810.3,Loja Norte,Débito,RJ,São Paulo,1810.3
Smartphone,Periféricos,5,1080.51,Loja Centro,Boleto,MG,Rio de Janeiro,5402.55
Smartwatch,Informática,8,2308.59,Loja Norte,Débito,RS,Rio de Janeiro,18468.72
Monitor,Acessórios,7,1080.02,Loja Norte,Boleto,RS,Rio de Janeiro,7560.139999999999
Smartphone,Periféricos,5,2517.08,Loja Sul,Débito,SP,Rio de Janeiro,12585.4
Smartphone,Acessórios,3,4522.37,Loja Leste,Débito,RJ,Salvador,13567.11
Smartwatch,Periféricos,1,3106.3,Loja Oeste,Crédito,MG,Belo Horizonte,3106.3
Tablet,Periféricos,7,4284.39,Loja Centro,Boleto,MG,Rio de Janeiro,29990.730000000003
Smartphone,Eletrônicos,3,872.65,Loja Oeste,Crédito,SP,Salvador,2617.95
Impressora,Acessórios,4,4509.32,Loja Centro,Crédito,SP,Porto Alegre,18037.28
Headset,Acessórios,5,3028.85,Loja Leste,Boleto,MG,Rio de Janeiro,15144.25
Tablet,Periféricos,8,207.21,Loja Sul,Débito,SP,São Paulo,1657.68
Impressora,Acessórios,7,3183.94,Loja Oeste,Crédito,RS,Salvador,22287.58
Tablet,Periféricos,9,4759.41,Loja Centro,Débito,MG,São Paulo,42834.69
Impressora,Acessórios,3,441.88,Loja Norte,Débito,BA,Belo Horizonte,1325.6399999999999
Monitor,Eletrônicos,1,2933.16,Loja Leste,Crédito,RJ,Porto Alegre,2933.16
Impressora,Acessórios,1,4581.62,Loja Sul,Crédito,RJ,São Paulo,4581.62
Teclado,Eletrônicos,1,97.99,Loja Norte,Crédito,BA,Rio de Janeiro,97.99
Impressora,Informática,2,3173.02,Loja Sul,Débito,BA,Salvador,6346.04
Laptop,Acessórios,2,2400.77,Loja Centro,Boleto,RS,Porto Alegre,4801.54
Laptop,Acessórios,7,1767.6,Loja Norte,Boleto,MG,Salvador,12373.199999999999
Webcam,Acessórios,9,3156.31,Loja Sul,Crédito,SP,Porto Alegre,28406.79
Teclado,Eletrônicos,8,310.88,Loja Leste,Débito,RJ,São Paulo,2487.04
Teclado,Acessórios,4,3777.66,Loja Oeste,Crédito,BA,Belo Horizonte,15110.64
Headset,Acessórios,2,72.17,Loja Oeste,Débito,MG,Salvador,144.34
Teclado,Periféricos,3,1569.33,Loja Norte,Boleto,SP,Rio de Janeiro,4707.99
Headset,Informática,5,2544.6,Loja Leste,Boleto,RJ,Salvador,12723.0
Webcam,Eletrônicos,9,1916.26,Loja Leste,Crédito,MG,Belo Horizonte,17246.34
Webcam,Periféricos,8,1572.01,Loja Sul,Crédito,RJ,São Paulo,12576.08
Monitor,Eletrônicos,3,4162.63,Loja Norte,Boleto,RS,Rio de Janeiro,12487.89
Laptop,Periféricos,9,4677.42,Loja Leste,Débito,RJ,Rio de Janeiro,42096.78
Impressora,Informática,3,4374.88,Loja Sul,Boleto,RS,São Paulo,13124.64
Impressora,Periféricos,8,2636.03,Loja Leste,Débito,RS,Salvador,21088.24
Smartwatch,Eletrônicos,1,4426.61,Loja Norte,Crédito,RS,Rio de Janeiro,4426.61
Smartwatch,Acessórios,4,4608.26,Loja Leste,Boleto,SP,Salvador,18433.04
Mouse,Acessórios,4,2075.73,Loja Leste,Crédito,SP,Salvador,8302.92
Tablet,Informática,6,1453.06,Loja Leste,Boleto,RS,São Paulo,8718.36
Monitor,Eletrônicos,2,536.41,Loja Oeste,Crédito,MG,Belo Horizonte,1072.82
Mouse,Eletrônicos,7,2421.51,Loja Centro,Boleto,RS,Belo Horizonte,16950.57
Mouse,Eletrônicos,5,4734.17,Loja Norte,Boleto,MG,Salvador,23670.85
Smartphone,Informática,6,2826.49,Loja Oeste,Crédito,RJ,São Paulo,16958.94
Smartphone,Acessórios,6,3354.43,Loja Centro,Boleto,SP,Belo Horizonte,20126.579999999998
Mouse,Periféricos,6,608.77,Loja Leste,Boleto,MG,Salvador,3652.62
Teclado,Informática,8,760.42,Loja Leste,Boleto,MG,Rio de Janeiro,6083.36
Tablet,Periféricos,4,2349.14,Loja Oeste,Boleto,MG,Rio de Janeiro,9396.56
Monitor,Acessórios,8,4758.76,Loja Sul,Crédito,BA,Porto Alegre,38070.08
Mouse,Informática,9,1835.88,Loja Norte,Crédito,SP,Porto Alegre,16522.920000000002
Impressora,Acessórios,4,4393.55,Loja Centro,Boleto,BA,Porto Alegre,17574.2
Tablet,Periféricos,1,645.43,Loja Leste,Boleto,RJ,Belo Horizonte,645.43
Smartphone,Eletrônicos,3,3104.24,Loja Norte,Crédito,MG,Rio de Janeiro,9312.72
Impressora,Eletrônicos,1,3023.03,Loja Leste,Boleto,SP,Rio de Janeiro,3023.03
Smartphone,Periféricos,7,4306.38,Loja Leste,Débito,SP,Belo Horizonte,30144.66
Smartphone,Eletrônicos,1,66.42,Loja Leste,Crédito,SP,Rio de Janeiro,66.42
Tablet,Periféricos,4,990.16,Loja Norte,Boleto,MG,Rio de Janeiro,3960.64
Smartphone,Informática,1,1137.45,Loja Oeste,Débito,RS,Salvador,1137.45
Webcam,Informática,2,4752.33,Loja Norte,Boleto,RS,Rio de Janeiro,9504.66
Laptop,Informática,1,810.78,Loja Norte,Boleto,RS,Salvador,810.78
Webcam,Eletrônicos,5,232.96,Loja Sul,Boleto,BA,Porto Alegre,1164.8
Laptop,Acessórios,7,2695.58,Loja Sul,Débito,MG,São Paulo,18869.059999999998
Smartwatch,Eletrônicos,3,2666.36,Loja Oeste,Débito,RJ,Salvador,7999.08
Smartwatch,Eletrônicos,8,4228.03,Loja Sul,Crédito,BA,Rio de Janeiro,33824.24
Smartphone,Acessórios,5,4746.86,Loja Oeste,Boleto,SP,Porto Alegre,23734.3
Monitor,Acessórios,5,2715.8,Loja Leste,Boleto,RS,São Paulo,13579.0
Monitor,Acessórios,5,4653.47,Loja Leste,Débito,SP,São Paulo,23267.350000000002
Laptop,Acessórios,8,3639.54,Loja Norte,Boleto,BA,Porto Alegre,29116.32
Impressora,Eletrônicos,2,1359.57,Loja Leste,Boleto,RS,Porto Alegre,2719.14
Tablet,Periféricos,2,4645.68,Loja Sul,Boleto,MG,São Paulo,9291.36
Smartphone,Informática,8,3353.84,Loja Centro,Débito,RS,São Paulo,26830.72
Tablet,Periféricos,9,2099.77,Loja Norte,Boleto,RS,Rio de Janeiro,18897.93
Webcam,Eletrônicos,2,3417.2,Loja Oeste,Boleto,RS,Salvador,6834.4
Monitor,Acessórios,4,2036.5,Loja Leste,Crédito,BA,Salvador,8146.0
Teclado,Informática,8,615.21,Loja Norte,Boleto,RS,São Paulo,4921.68
Webcam,Informática,2,3608.94,Loja Norte,Débito,BA,São Paulo,7217.88
Webcam,Periféricos,4,4129.23,Loja Norte,Débito,SP,Belo Horizonte,16516.92
Laptop,Eletrônicos,1,3657.59,Loja Leste,Boleto,MG,São Paulo,3657.59
Headset,Eletrônicos,2,1184.12,Loja Oeste,Crédito,RS,Salvador,2368.24
Webcam,Eletrônicos,7,4785.34,Loja Norte,Boleto,BA,Rio de Janeiro,33497.380000000005
Smartphone,Informática,1,175.01,Loja Norte,Boleto,RS,Belo Horizonte,175.01
Mouse,Periféricos,1,1696.79,Loja Norte,Boleto,RS,Salvador,1696.79
Mouse,Informática,2,1337.46,Loja Leste,Débito,RS,Rio de Janeiro,2674.92
Smartphone,Informática,4,288.22,Loja Sul,Boleto,RJ,Belo Horizonte,1152.88
